Iron Crown MVP (Calder Rowan Trophy) - Player,Iron Crown MVP Team,Iron Crown MVP Position
Tim Plenwick,Las Vegas Syndicate,QB
Calder Rowan,Birmingham Vulcans,QB
John Rigginsley,Washington Sentinels,RB
Miles Allard,Las Vegas Syndicate,RB
Calder Rowan,Birmingham Vulcans,QB
Raymond Denton,Pittsburgh Ironclads,EDGE
Phil Sayers,Philadelphia Founders,QB
Dean Whitaker,Washington Sentinels,QB
Terry Royce,Birmingham Vulcans,WR
Calder Rowan,Birmingham Vulcans,QB
Orin Addison,Philadelphia Founders,RB
Gareth Riven,Washington Sentinels,QB
Troy Caiman,Jacksonville Fleet,QB
Emmett Sloane,Jacksonville Fleet,RB
Steven Yorke,Birmingham Vulcans,QB
Lyle Brower,Jacksonville Fleet,CB
Desmond Hayward,Boston Harbormen,KR
Torrin Dawes,St. Louis Archons,RB
Jim English,St. Louis Archons,QB
Kirk Weller,Los Angeles Stars,QB
Reed Lowell,Detroit Assembly,LB
Toby Branton,Dallas Imperials,QB
Darren Jaxford,Baltimore Admirals,DB
Toby Branton,Dallas Imperials,QB
Darian Bannon,Dallas Imperials,WR
Hayes Warden,New York Gothic Guardians,WR
Preston Mallory,Denver Summit,QB
Evan Mallory,Philadelphia Founders,QB
Santino Harlan,New York Gothic Guardians,WR
Dean Brevin,New Orleans Hex,QB
Adrian Rookard,Boston Harbormen,QB
Evan Mallory,Philadelphia Founders,QB
Joey Falco,Detroit Assembly,QB
Malcolm Smithson,Seattle Evergreens,LB
Toby Branton,Dallas Imperials,QB
Vaughn Millar,St. Louis Archons,LB
Toby Branton,Dallas Imperials,QB
Nick Folesen,Memphis Blues,QB
Jules Edlin,Dallas Imperials,WR
Parker Mahler,Nashville Sound,QB
Toby Branton,Baltimore Admirals,QB
Rick Ervin,Los Angeles Stars,WR
Parker Mahler,Nashville Sound,QB
Parker Mahler,Nashville Sound,QB
Jace Harlan,Memphis Blues,QB
Jamarcus Massey,Boston Harbormen,EDGE